"","ID","title","description","streetaddress","type","amenityfeatures","city","state","Year","lat","lon","categories","cruisy"
"37151","NY2312","Bonnie & Clydes","","82 W. 3rd St.","Restaurant","(D),(R)","Greenwich Village","NY",1973,40.7297021,-73.9989571,"Restaurants","FALSE"
"37152","NY2313","Branding Iron","bet. 10th & 11th Aves.","165 A Ave.","Bars/Clubs","","Greenwich Village","NY",1973,40.7459366,-74.0058474,"Bars","FALSE"
"37153","NY2314","Carr's","","204 W. 10th St.","Bars/Clubs","(*)","Greenwich Village","NY",1973,40.7338736,-74.0039708,"Bars","FALSE"
"37154","NY2315","Casa Laredo","at Perry","551 Hudson","Restaurant","(M),(R)","Greenwich Village","NY",1973,40.7352609,-74.0063025,"Restaurants","FALSE"
"37155","NY2316","Cell Block","","372 W. 11th St.","Bars/Clubs","(SM),(*)","Greenwich Village","NY",1973,40.735189,-74.0095653,"Bars","FALSE"
"37156","NY2317","Church of Beloved Disciple","","300 9th Ave.","Religious Institutions","","Greenwich Village","NY",1973,40.7494065,-73.9989476,"Religious Institutions","FALSE"
"37157","NY2318","Club Baths","","24 1st Ave.","Bars/Clubs","(YC),(*)","Greenwich Village","NY",1973,40.7236446,-73.9879491,"Bars","FALSE"
"37158","NY2319","Coven","","531 Hudson","Restaurant","(R)","Greenwich Village","NY",1973,40.7342517,-74.0064917,"Restaurants","FALSE"
"37159","NY2320","Danny's","","139 Christopher St.","Bars/Clubs","(*)","Greenwich Village","NY",1973,40.733018,-74.0071685,"Bars","FALSE"
"37160","NY2321","Danny's Hide-a-way Motel","(& Cocktail Lounge) at 10th Ave.","500 W. 14th St.","Hotel,Bars/Clubs","(H)","Greenwich Village","NY",1973,40.7421672,-74.0084683,"Accommodations","FALSE"
"37161","NY2322","Danny's of Sheridan Square","(see 'New Danny's')","","Bars/Clubs","(*)","Greenwich Village","NY",1973,40.7332,-74.002285,"Bars","FALSE"
"37162","NY2323","Den","(Was closed- may be reopening) at Little W. 12th ","835 Washington ","Bars/Clubs","(SM)","Greenwich Village","NY",1973,40.7403979,-74.0076797,"Bars","FALSE"
"37163","NY2324","Duplex","off Sheridan Sq.","55 Grove St.","Bars/Clubs","","Greenwich Village","NY",1973,40.733207,-74.0035415,"Bars","FALSE"
"37164","NY2325","Eagle's Nest","21st St. & 11th Ave.","","Bars/Clubs","(SM),(*)","Greenwich Village","NY",1973,40.747343,-74.007595,"Bars","FALSE"
"37165","NY2326","Eighty Two Club","","82 E. 4th St.","Bars/Clubs","(M),(S)","Greenwich Village","NY",1973,40.7263069,-73.9898306,"Bars","FALSE"
"37166","NY2327","Fedora","","48 Barrow St.","Restaurant","(R),(M)","Greenwich Village","NY",1973,40.7321243,-74.0046039,"Restaurants","FALSE"
"37167","NY2328","Five Oaks","","49 Grove St.","Restaurant","(R)","Greenwich Village","NY",1973,40.7331585,-74.0037967,"Restaurants","FALSE"
"37168","NY2329","Gallery Delicatessen","","77 Christopher St.","Restaurant","(M),(R)","Greenwich Village","NY",1973,40.7336926,-74.0034103,"Restaurants","FALSE"
"37169","NY2330","Gay Dogs","(hot dog stand)","180 Christopher St.","Restaurant","","Greenwich Village","NY",1973,40.7322754,-74.0099772,"Restaurants","FALSE"
"37170","NY2331","Gianni's","","53 W. 19th St.","Bars/Clubs","(G),(*)","Greenwich Village","NY",1973,40.740279,-73.9937306,"Bars","FALSE"
"37171","NY2332","Gold Bug","","83 W. 3rd St.","Bars/Clubs","(YC),(RT),(D),(*)","Greenwich Village","NY",1973,40.7298572,-73.9987763,"Bars","FALSE"
"37172","NY2333","Jack Delaney's","","72 Grove St.","Restaurant","(R)","Greenwich Village","NY",1973,40.7331816,-74.0027331,"Restaurants","FALSE"
"37173","NY2334","Julius","","159 W. 10th St.","Bars/Clubs","(*)","Greenwich Village","NY",1973,40.7345329,-74.0017116,"Bars","FALSE"
"37174","NY2335","Keller's","nr. Barrow","384 West St.","Bars/Clubs","(SM),(*)","Greenwich Village","NY",1973,40.732003,-74.0102763,"Bars","FALSE"
"37175","NY2336","Kooky's","","149 W. 14th St.","Bars/Clubs","(G),(D)","Greenwich Village","NY",1973,40.7384534,-73.9988653,"Bars","FALSE"
"37176","NY2337","Leo's Lion","","57 Lexington Ave.","Bars/Clubs","","Greenwich Village","NY",1973,40.734672,-73.997848,"Bars","FALSE"
"37177","NY2338","Lion's","","105 W. 13th St.","Bars/Clubs","","Greenwich Village","NY",1973,40.7369605,-73.9976575,"Bars","FALSE"
"37178","NY2339","Marie's Crisis","","59 Grove St.","Bars/Clubs","","Greenwich Village","NY",1973,40.7332382,-74.0033971,"Bars","FALSE"
"37179","NY2340","Max's Kansas City","","213 Park Ave. So.","Restaurant","(M),(HIP),(RT)","Greenwich Village","NY",1973,40.7367217,-73.9886414,"Restaurants","FALSE"
"37180","NY2341","Mr. Willam Shakespeare ","","176 Mac Dougall","Restaurant","(M),(HIP),(R)","Greenwich Village","NY",1973,40.7299971,-74.0005071,"Restaurants","FALSE"
"37181","NY2342","New Danny's","nr. 10th St.","140 7th Ave So.","Bars/Clubs","(D),(*)","Greenwich Village","NY",1973,40.734755,-74.0024061,"Bars","FALSE"
"37182","NY2343","Nine Plus","","149 W. 21st St.","Bars/Clubs","(P),(SM)","Greenwich Village","NY",1973,40.742575,-73.995433,"Bars","FALSE"
"37183","NY2344","Ninth Circle","","139 W. 10th St.","Restaurant","(R)","Greenwich Village","NY",1973,40.7347958,-74.0007993,"Restaurants","FALSE"
"37184","NY2345","One Potato","at 10th St.","518 Hudson","Bars/Clubs","","Greenwich Village","NY",1973,40.7336903,-74.0060784,"Bars","FALSE"
"37185","NY2346","Oscar Wilde Mem. Book Store","","291 Mercer","Book Store","","Greenwich Village","NY",1973,40.7302074,-73.9939991,"Businesses","FALSE"
"37186","NY2347","Paula's","","64 Greenwich Ave.","Bars/Clubs","","Greenwich Village","NY",1973,40.7361254,-74.0006213,"Bars","FALSE"
"37187","NY2348","Peter","(some (SM)) at West St.","305 W. 10th St.","Restaurant","(R),(SM),(*)","Greenwich Village","NY",1973,40.7332889,-74.0098061,"Restaurants","FALSE"
"37188","NY2349","Road House","at 10th St.","518 Hudson","Bars/Clubs","(SM),(*)","Greenwich Village","NY",1973,40.7336903,-74.0060784,"Bars","FALSE"
"37189","NY2350","Royal Roost","at Bleecker","28 Cornelia","Restaurant","(R)","Greenwich Village","NY",1973,40.7311877,-74.0023544,"Restaurants","FALSE"
"37190","NY2351","Sammy's Folly","15th St. near 5th Ave.","","Restaurant","(R)","Greenwich Village","NY",1973,40.736689,-73.993153,"Restaurants","FALSE"
"37191","NY2352","St. Mark's Baths","","6 St. Mark's Pl.","Baths","","Greenwich Village","NY",1973,40.72909,-73.989568,"Bath Houses","FALSE"
"37192","NY2353","Shaft","","181 2nd Ave.","Bars/Clubs","(HIP),(YC),(*)","Greenwich Village","NY",1973,40.7309621,-73.9862063,"Bars","FALSE"
"37193","NY2354","Silver Dollar","","163 Christopher St.","Restaurant","(M),(R)","Greenwich Village","NY",1973,40.7328465,-74.0085742,"Restaurants","FALSE"
"37194","NY2355","Spark's Steak House","","123 E. 18th St.","Restaurant","(R)","Greenwich Village","NY",1973,40.7367966,-73.987285,"Restaurants","FALSE"
"37195","NY2356","Spike Bar","at 21st St.","120 11th Ave.","Bars/Clubs","(W),(SM),(*)","Greenwich Village","NY",1973,40.7469281,-74.007586,"Bars","FALSE"
"37196","NY2357","Spoofie's","(Sunday brunch) at 19th St.","232 Park Ave. So.","Restaurant","(R)","Greenwich Village","NY",1973,40.7377528,-73.9882154,"Restaurants","FALSE"
"37197","NY2358","Squire Nook","","18 E. 13th St.","Restaurant","(R)","Greenwich Village","NY",1973,40.7347715,-73.9932528,"Restaurants","FALSE"
"37198","NY2359","Stud International","(No booze, juice bar, 'wild back room'*) Greenwich * Perry","","Bars/Clubs","(*)","Greenwich Village","NY",1973,40.735027,-74.006984,"Bars","FALSE"
"37199","NY2360","Studio Book Shop","at Christopher ","500 Hudson","Book Store","","Greenwich Village","NY",1973,40.73299,-74.006136,"Businesses","FALSE"
"37200","NY2361","Tor's","","21 Greenwich St.","Restaurant","(M),(R)","Greenwich Village","NY",1973,40.7056213,-74.0143525,"Restaurants","FALSE"
"37201","NY2362","Triangle","(sometimes open, sometimes closed) at 13th St.","34 9th Ave.","Bars/Clubs","(SM)","Greenwich Village","NY",1973,40.7406773,-74.0054954,"Bars","FALSE"
"37202","NY2363","Village West Books","","40 Bedford St.","Book Store","","Greenwich Village","NY",1973,40.73032,-74.0040644,"Businesses","FALSE"
"37203","NY2364","Bleecker & Hudson Sts.","","","Cruising Areas","Cruisy Area","Greenwich Village","NY",1973,40.736899,-74.005524,"Cruising Areas","TRUE"
"37204","NY2365","Christopher Street","","","Cruising Areas","Cruisy Area","Greenwich Village","NY",1973,40.732422,-74.010231,"Cruising Areas","TRUE"
"37205","NY2366","Greenwich Ave.","bet. 6th & 7th Aves.","","Cruising Areas","Cruisy Area","Greenwich Village","NY",1973,40.734562,-73.999782,"Cruising Areas","TRUE"
"37206","NY2367","Sheridan Square","","","Cruising Areas","Cruisy Area","Greenwich Village","NY",1973,40.7332,-74.002285,"Cruising Areas","TRUE"
"37207","NY2368","Washington Square Park","","","Cruising Areas","Cruisy Area","Greenwich Village","NY",1973,40.730823,-73.997332,"Cruising Areas","TRUE"
"37208","NY2369","West St.","","","Cruising Areas","Cruisy Area","Greenwich Village","NY",1973,40.723629,-74.011577,"Cruising Areas","TRUE"
"37209","NY2521","Albert Hotel","","23 E. 10th St.","Hotel","(H)","Greenwich Village","NY",1972,40.7327657,-73.9934301,"Accommodations","FALSE"
"37210","NY2522","Bon Soir","","40 W. 8th St.","Bars/Clubs","(*),(D)","Greenwich Village","NY",1972,40.7329256,-73.9984186,"Bars","FALSE"
"37211","NY2523","Bonnie & Clydes","","82 W. 3rd St.","Bars/Clubs","(M),(D)","Greenwich Village","NY",1972,40.7297021,-73.9989571,"Bars","FALSE"
"37212","NY2524","Carr's","","204 W. 10th St.","Bars/Clubs","","Greenwich Village","NY",1972,40.7338736,-74.0039708,"Bars","FALSE"
"37213","NY2525","Casa Laredo","at Perry","551 Hudson","Restaurant","(M),(R)","Greenwich Village","NY",1972,40.7352609,-74.0063025,"Restaurants","FALSE"
"37214","NY2526","Chick 'n Rib","","29 Greenwich","Restaurant","(R)","Greenwich Village","NY",1972,40.7223727,-74.0096207,"Restaurants","FALSE"
"37215","NY2527","Christopher's End","(after hrs.- wild back room)","180 Christopher St.","Bars/Clubs","(P),(D),(*)","Greenwich Village","NY",1972,40.7322754,-74.0099772,"Bars","FALSE"
"37216","NY2528","Cinderella Club","","82 W. 3rd St.","Bars/Clubs","","Greenwich Village","NY",1972,40.7297021,-73.9989571,"Bars","FALSE"
"37217","NY2529","Club Baths","(finally opened) at 1st St.","24 1st Ave.","Baths","","Greenwich Village","NY",1972,40.7236446,-73.9879491,"Bath Houses","FALSE"
"37218","NY2530","Come Back","(after hours)","185 10th St.","Bars/Clubs","(P)","Greenwich Village","NY",1972,40.734474,-74.0028605,"Bars","FALSE"
"37219","NY2531","Danny's","at Greenwich","139 Christopher St.","Bars/Clubs","(*)","Greenwich Village","NY",1972,40.733018,-74.0071685,"Bars","FALSE"
"37220","NY2532","Den","at Little West 12th St.","835 Washington St.","Bars/Clubs","(SM),(*)","Greenwich Village","NY",1972,40.7403979,-74.0076797,"Bars","FALSE"
"37221","NY2533","Eagle's Nest","21st St. at 10th Ave.","","Bars/Clubs","(SM),(*)","Greenwich Village","NY",1972,40.746405,-74.005125,"Bars","FALSE"
"37222","NY2534","Eighty-Two-Club","(touristy)","82 E. 4th St.","Bars/Clubs","(M),(S)","Greenwich Village","NY",1972,40.7263069,-73.9898306,"Bars","FALSE"
"37223","NY2535","Exile","(opened & closed as the Department Store) nr. Jane","491 West St.","Bars/Clubs","","Greenwich Village","NY",1972,40.7377113,-74.0100872,"Bars","FALSE"
"37224","NY2536","Fedora","","239 W. 4th St.","Restaurant","(M),(R)","Greenwich Village","NY",1972,40.734537,-74.0029004,"Restaurants","FALSE"
"37225","NY2537","Finale","","48 Barrow St.","Restaurant","(R),(*)","Greenwich Village","NY",1972,40.7321243,-74.0046039,"Restaurants","FALSE"
"37226","NY2538","Five Oaks","","49 Grove St.","Restaurant","(R)","Greenwich Village","NY",1972,40.7331585,-74.0037967,"Restaurants","FALSE"
"37227","NY2539","Four-Eleven","","411 Bleecker St.","Bars/Clubs","","Greenwich Village","NY",1972,40.736316,-74.0050709,"Bars","FALSE"
"37228","NY2540","Gallery Delicatessen","","77 Christopher St.","Restaurant","(M),(R)","Greenwich Village","NY",1972,40.7336926,-74.0034103,"Restaurants","FALSE"
"37229","NY2541","Gianni's","19th St. bet. 5th & 6th Aves.","","Bars/Clubs","(G),(*)","Greenwich Village","NY",1972,40.739764,-73.993243,"Bars","FALSE"
"37230","NY2542","Gold Bug","","83 W. 3rd St.","Bars/Clubs","(YC),(RT),(D),(*)","Greenwich Village","NY",1972,40.7298572,-73.9987763,"Bars","FALSE"
"37231","NY2543","Goldfarb's","7th Ave. at Bleecker","","Bars/Clubs","","Greenwich Village","NY",1972,40.732194,-74.003402,"Bars","FALSE"
"37232","NY2544","Haven","(after hours- no booze- had trouble) W. 4th St. at Sheridan Sq.","","Bars/Clubs","(YC)","Greenwich Village","NY",1972,40.733302,-74.002507,"Bars","FALSE"
"37233","NY2545","Hip-O-Drome","bet. 10th & 11th Sts.","165 Ave A","Bars/Clubs","(HIP),(*)","Greenwich Village","NY",1972,40.7282222,-73.9822639,"Bars","FALSE"
"37234","NY2546","Jeannie's Patio","","48 W. 4th St.","Restaurant","(M),(R)","Greenwich Village","NY",1972,40.7331569,-74.0023986,"Restaurants","FALSE"
"37235","NY2547","Julius","","159 W. 10th St.","Bars/Clubs","(*)","Greenwich Village","NY",1972,40.7345329,-74.0017116,"Bars","FALSE"
"37236","NY2548","Keller's","near Barrow","384 West St.","Bars/Clubs","(SM),(*)","Greenwich Village","NY",1972,40.732003,-74.0102763,"Bars","FALSE"
"37237","NY2549","Kookie's","","149 W. 14th St.","Bars/Clubs","(G)","Greenwich Village","NY",1972,40.7384534,-73.9988653,"Bars","FALSE"
"37238","NY2550","Luigi II","","104 W. 13th St.","Bars/Clubs","","Greenwich Village","NY",1972,40.7367323,-73.9979586,"Bars","FALSE"
"37239","NY2551","Mardi Gras","(new location for the 'barn') 14th St. at 9th Ave.","","Bars/Clubs","(*)","Greenwich Village","NY",1972,40.740849,-74.005135,"Bars","FALSE"
"37240","NY2552","Marlton Hotel","","5 W. 8th St.","Hotel","(M)","Greenwich Village","NY",1972,40.7326462,-73.9968064,"Accommodations","FALSE"
"37241","NY2553","Max's Kansas City","","213 Park Ave. So.","Restaurant","(M),(HIP),(R)","Greenwich Village","NY",1972,40.7367217,-73.9886414,"Restaurants","FALSE"
"37242","NY2554","Oscar Wilde Memorial Book Shop","","291 Mercer","Book Store","","Greenwich Village","NY",1972,40.7302074,-73.9939991,"Businesses","FALSE"
"37243","NY2555","Nine Plus","","149 W. 21st St.","Bars/Clubs","(SM),(P),(*)","Greenwich Village","NY",1972,40.742575,-73.995433,"Bars","FALSE"
"37244","NY2556","Planetarium","nr. 12th St","181 2nd Ave.","Bars/Clubs","(YC),(HIP),(*)","Greenwich Village","NY",1972,40.7309621,-73.9862063,"Bars","FALSE"
"37245","NY2557","Psychedelic Shack","","17 Barrow St.","Bars/Clubs","(RT),(M),(HIP)","Greenwich Village","NY",1972,40.7324944,-74.0025839,"Bars","FALSE"
"37246","NY2558","Royal Roost","near Bleecker","28 Cornelia ","Restaurant","(R)","Greenwich Village","NY",1972,40.7311877,-74.0023544,"Restaurants","FALSE"
"37247","NY2559","St. Mark's Baths","nr. 3rd Ave. & 8th St.","6 St. Marks Pl.","Baths","","Greenwich Village","NY",1972,40.72909,-73.989568,"Bath Houses","FALSE"
"37248","NY2560","Scotland Yard","(maybe closing soon)","146 W. 4th St.","Bars/Clubs","(YC),(D),(P)","Greenwich Village","NY",1972,40.7312766,-74.0005983,"Bars","FALSE"
"37249","NY2561","Sea Colony","Horatio at 6th Ave.","","Bars/Clubs","(G)","Greenwich Village","NY",1972,40.738756,-74.003446,"Bars","FALSE"
"37250","NY2562","Silver Dollar","","163 Christopher St.","Restaurant","(M),(R)","Greenwich Village","NY",1972,40.7328465,-74.0085742,"Restaurants","FALSE"
"37251","NY2563","Stud International","Greenwich St. at Perry","","Bars/Clubs","(*)","Greenwich Village","NY",1972,40.735027,-74.006984,"Bars","FALSE"
"37252","NY2564","Studio Book Shop","Christopher St. at Hudson","","Book Store","","Greenwich Village","NY",1972,40.733147,-74.006207,"Businesses","FALSE"
"37253","NY2565","Tenth of Always ","","82 W. 3rd St.","Bars/Clubs","(YC),(HIP),(D),(*)","Greenwich Village","NY",1972,40.7297021,-73.9989571,"Bars","FALSE"
"37254","NY2566","Thrush","(no liquor- after hours)","24 E. 22nd St.","Bars/Clubs","(YC),(HIP),(D),(P)","Greenwich Village","NY",1972,40.739904,-73.9883564,"Bars","FALSE"
"37255","NY2567","Tool Box","at Jane","507 West St.","Bars/Clubs","","Greenwich Village","NY",1972,40.7385197,-74.0093909,"Bars","FALSE"
"37256","NY2568","Tor's","","21 Greenwich St.","Restaurant","(M),(R)","Greenwich Village","NY",1972,40.7056213,-74.0143525,"Restaurants","FALSE"
"37257","NY2569","Trapazon","","372 W. 11th St.","Bars/Clubs","(SM),(*)","Greenwich Village","NY",1972,40.735189,-74.0095653,"Bars","FALSE"
"37258","NY2570","Triangle","at 13th St.","34 9th Ave.","Bars/Clubs","(SM),(*)","Greenwich Village","NY",1972,40.7406773,-74.0054954,"Bars","FALSE"
"37259","NY2571","Upstairs at the Duplex","Grove St. at Sheridan Sq.","","Bars/Clubs","","Greenwich Village","NY",1972,40.733365,-74.002579,"Bars","FALSE"
"37260","NY2572","Washington Square","at 3rd St.","675 Broadway","Bars/Clubs","(RT),(G),(S)","Greenwich Village","NY",1972,40.7277982,-73.9950397,"Bars","FALSE"
"37261","NY2573","Wine Cellar","","531 Hudson","Restaurant","(M),(R),(*)","Greenwich Village","NY",1972,40.7342517,-74.0064917,"Restaurants","FALSE"
"37262","NY2574","Zodiac","(after hours, above the Den) Little 12th St. & Washington","","Bars/Clubs","(SM),(P),(*)","Greenwich Village","NY",1972,40.737557,-74.008213,"Bars","FALSE"
"37263","NY2575","Bleecker & Hudson Sts.","","","Cruising Areas","Cruisy Area","Greenwich Village","NY",1972,40.736899,-74.005524,"Cruising Areas","TRUE"
"37264","NY2576","Christopher Street","","","Cruising Areas","Cruisy Area","Greenwich Village","NY",1972,40.732422,-74.010231,"Cruising Areas","TRUE"
"37265","NY2577","Greenwich Ave.","between 6th & 7th Avenues","","Cruising Areas","Cruisy Area","Greenwich Village","NY",1972,40.734562,-73.999782,"Cruising Areas","TRUE"
"37266","NY2578","Sheridan Square","","","Cruising Areas","Cruisy Area","Greenwich Village","NY",1972,40.7332,-74.002285,"Cruising Areas","TRUE"
"37267","NY2579","Washington Sq. Park","","","Cruising Areas","Cruisy Area","Greenwich Village","NY",1972,40.730823,-73.997332,"Cruising Areas","TRUE"
"37268","NY2580","West St.","","","Cruising Areas","Cruisy Area","Greenwich Village","NY",1972,40.733208,-74.009812,"Cruising Areas","TRUE"
"37269","NY2690","Albert Hotel","","23 E. 10th St.","Hotel","(H)","Greenwich Village","NY",1971,40.7327657,-73.9934301,"Accommodations","FALSE"
"37270","NY2691","Alternate U Gay Liberation Front","nr. 14th St. (Saturdays only (D)*, $1.50 cover)","530 6th Ave.","Organizations,Bars/Clubs","(D),(*)","Greenwich Village","NY",1971,40.7374312,-73.9964561,"Bars","FALSE"
"37271","NY2692","Barn","13th St. at 9th Ave. (wild back room)","","Bars/Clubs","(*)","Greenwich Village","NY",1971,40.740264,-74.005866,"Bars","FALSE"
"37272","NY2693","Bon Soir","","40 W. 8th St.","Bars/Clubs","(D),(*)","Greenwich Village","NY",1971,40.7329256,-73.9984186,"Bars","FALSE"
"37273","NY2694","Carnival","(above Tool Box) West St. at Jane","","Bars/Clubs","(P),(SM)","Greenwich Village","NY",1971,40.738154,-74.009578,"Bars","FALSE"
"37274","NY2695","Carr's","","204 W. 10th St.","Bars/Clubs","","Greenwich Village","NY",1971,40.7338736,-74.0039708,"Bars","FALSE"
"37275","NY2696","Casa Laredo","Hudson & Perry","","Restaurant","(R)","Greenwich Village","NY",1971,40.73513,-74.006087,"Restaurants","FALSE"
"37276","NY2697","Christopher's End","(after hrs.)","180 Christopher St.","Bars/Clubs","(D),(P),(*)","Greenwich Village","NY",1971,40.7322754,-74.0099772,"Bars","FALSE"
"37277","NY2698","Come Back","","185 10th St.","Bars/Clubs","","Greenwich Village","NY",1971,40.734474,-74.0028605,"Bars","FALSE"
"37278","NY2699","Danny's","at Greenwich St.","139 Christopher ","Bars/Clubs","(YC),(*)","Greenwich Village","NY",1971,40.733018,-74.0071685,"Bars","FALSE"
"37279","NY2700","Den","","835 Washington St.","Bars/Clubs","(SM),(*)","Greenwich Village","NY",1971,40.7403979,-74.0076797,"Bars","FALSE"
"37280","NY2701","Eagle's Nest","21st St. at 10th Ave.","","Bars/Clubs","(SM)","Greenwich Village","NY",1971,40.746405,-74.005125,"Bars","FALSE"
"37281","NY2702","Earle Hotel","at 11th St.","103 Waverly Pl.","Hotel","(H),(RT)","Greenwich Village","NY",1971,40.73251,-73.9987579,"Accommodations","FALSE"
"37282","NY2703","Eighty-Two-Club","(touristy)","82 E. 4th St.","Bars/Clubs","(M),(S)","Greenwich Village","NY",1971,40.7263069,-73.9898306,"Bars","FALSE"
"37283","NY2704","Fedora","","239 W. 4th S.","Restaurant","(R),(M)","Greenwich Village","NY",1971,40.734537,-74.0029004,"Restaurants","FALSE"
"37284","NY2705","Finale","","48 Barrow St.","Restaurant","(R),(*)","Greenwich Village","NY",1971,40.7321243,-74.0046039,"Restaurants","FALSE"
"37285","NY2706","Five Oaks","","49 Grove St.","Restaurant","(R)","Greenwich Village","NY",1971,40.7331585,-74.0037967,"Restaurants","FALSE"
"37286","NY2707","Fraser's","","136 Waverly Pl.","Restaurant","(R)","Greenwich Village","NY",1971,40.7330008,-74.0005218,"Restaurants","FALSE"
"37287","NY2708","Gallery Delicatessen","","77 Christopher St.","Restaurant","(R)","Greenwich Village","NY",1971,40.7336926,-74.0034103,"Restaurants","FALSE"
"37288","NY2709","GIanni's","19th St., bet. 5th & 6th Aves.","","Bars/Clubs","(G)","Greenwich Village","NY",1971,40.739764,-73.993243,"Bars","FALSE"
"37289","NY2710","Gold Bug","","85 W. 3rd St.","Bars/Clubs","(D),(YC),(RT),(*)","Greenwich Village","NY",1971,40.7298483,-73.9988581,"Bars","FALSE"
"37290","NY2711","Goldfarb's","(Tangerine Goldfarb) 7th Ave. at Bleecker","","Bars/Clubs","","Greenwich Village","NY",1971,40.732194,-74.003402,"Bars","FALSE"
"37291","NY2712","Hades","(around corner, behind the Tool Box) West St. at Jane","","Bars/Clubs","(P)","Greenwich Village","NY",1971,40.738154,-74.009578,"Bars","FALSE"
"37292","NY2713","Hippadrome","Ave. 'A' bet. 10th & 11th Sts.","","Bars/Clubs","","Greenwich Village","NY",1971,40.727852,-73.982235,"Bars","FALSE"
"37293","NY2714","Jeannie's Patio","","48 W. 4th St.","Restaurant","(R)","Greenwich Village","NY",1971,40.7331569,-74.0023986,"Restaurants","FALSE"
"37294","NY2715","Julius","","159 W. 10th St.","Bars/Clubs","(*)","Greenwich Village","NY",1971,40.7345329,-74.0017116,"Bars","FALSE"
"37295","NY2716","Keller's","nr. Barrow","384 West St.","Bars/Clubs","","Greenwich Village","NY",1971,40.732003,-74.0102763,"Bars","FALSE"
"37296","NY2717","Kookie's","","149 W. 14th St.","Bars/Clubs","(G)","Greenwich Village","NY",1971,40.7384534,-73.9988653,"Bars","FALSE"
"37297","NY2718","Le Bijou","","168 W. 4th St.","Restaurant","(M),(R)","Greenwich Village","NY",1971,40.7319679,-74.0016583,"Restaurants","FALSE"
"37298","NY2719","Luv Cage","(above old Showplace) 4th St. nr 6th Ave.","","Bars/Clubs","(G),(D),(P),(*)","Greenwich Village","NY",1971,40.737368,-73.996843,"Bars","FALSE"
"37299","NY2720","Max's Kansas City","","213 Park Ave. So.","Restaurant","(HIP),(R),(M)","Greenwich Village","NY",1971,40.7367217,-73.9886414,"Restaurants","FALSE"
"37300","NY2721","New Cinderella","","82 W. 3rd St.","Bars/Clubs","(D)","Greenwich Village","NY",1971,40.7297021,-73.9989571,"Bars","FALSE"
"37301","NY2722","Nine Plus","","149 W. 21st. St.","Bars/Clubs","(SM),(P),(*)","Greenwich Village","NY",1971,40.742575,-73.995433,"Bars","FALSE"
"37302","NY2723","Omnibus Coffee House ","","69 W. 10th St.","Restaurant","","Greenwich Village","NY",1971,40.734767,-73.998257,"Restaurants","FALSE"
"37303","NY2724","One-Two-Three Club","","123 University ","Bars/Clubs","(HIP)","Greenwich Village","NY",1971,40.7335719,-74.0027418,"Bars","FALSE"
"37304","NY2725","Psychedelic Shack","","17 Barrow St.","Bars/Clubs","","Greenwich Village","NY",1971,40.7324944,-74.0025839,"Bars","FALSE"
"37305","NY2726","Royal Roost","Cornelia nr. Bleecker","","Restaurant","(R)","Greenwich Village","NY",1971,40.731157,-74.002951,"Restaurants","FALSE"
"37306","NY2727","Sea Colony","Horatio at 6th Ave.","","Bars/Clubs","(G)","Greenwich Village","NY",1971,40.738756,-74.003446,"Bars","FALSE"
"37307","NY2728","Silver Dollar","","163 Christopher St.","Bars/Clubs","","Greenwich Village","NY",1971,40.7328465,-74.0085742,"Bars","FALSE"
"37308","NY2729","Stud International","Greenwich St. at Perry","","Bars/Clubs","(*)","Greenwich Village","NY",1971,40.735027,-74.006984,"Bars","FALSE"
"37309","NY2730","Studio Book Store","Christopher St. at Hudson","","Book Store","","Greenwich Village","NY",1971,40.733147,-74.006207,"Businesses","FALSE"
"37310","NY2731","Tenth of Always","","82 W. 3rd St.","Bars/Clubs","(YC),(D),(P),(*)","Greenwich Village","NY",1971,40.7297021,-73.9989571,"Bars","FALSE"
"37311","NY2732","Thrush","(No liquor- after hours)","24 E. 22nd St.","Bars/Clubs","(YC),(D),(HIP),(*)","Greenwich Village","NY",1971,40.739904,-73.9883564,"Bars","FALSE"
"37312","NY2733","Tool Box","at Jane","507 West St.","Bars/Clubs","(SM),(*)","Greenwich Village","NY",1971,40.7385197,-74.0093909,"Bars","FALSE"
"37313","NY2734","Tor's","","21 Greenwich Ave.","Restaurant","(R),(M)","Greenwich Village","NY",1971,40.734542,-74.000176,"Restaurants","FALSE"
"37314","NY2735","Trapazon","","372 W. 11th St.","Bars/Clubs","","Greenwich Village","NY",1971,40.735189,-74.0095653,"Bars","FALSE"
"37315","NY2736","Triangle","(below the Barn) 13th St. at 9th Ave.","","Bars/Clubs","","Greenwich Village","NY",1971,40.740264,-74.005866,"Bars","FALSE"
"37316","NY2737","Washington Square","(after hrs.) at 3rd St.","675 Broadway","Restaurant","(G),(RT),(R)","Greenwich Village","NY",1971,40.7277982,-73.9950397,"Restaurants","FALSE"
"37317","NY2738","Wine Cellar","","531 Hudson St.","Restaurant","(R),(M),(*)","Greenwich Village","NY",1971,40.7342517,-74.0064917,"Restaurants","FALSE"
"37318","NY2739","Zodiac","(after hours) (2nd floor, above the Den) 12th St. at Washington","","Bars/Clubs","(SM),(*)","Greenwich Village","NY",1971,40.737557,-74.008213,"Bars","FALSE"
"37319","NY2740","Zoo","(after hrs.) ($3.00 admission- wild back room)","421 W. 13th St.","Bars/Clubs","(SM),(P),(*)","Greenwich Village","NY",1971,40.7410047,-74.0069222,"Bars","FALSE"
